num,polygon
2,"[[0.0, 0.0], [4.2554202899, 0.0], [0.0, 8.5108405797], [-77.7858045522, 60.5192838404], [-76.9372631969, 0.2728476145], [0.8485413553, -60.2464362259], [76.8990603235, 2.4395563965], [76.0505189682, 62.6859926223]]"
1,"[[0.0, 0.0], [4.2554202899, 0.0], [0.0, 8.5108405797]]"
1,"[[52.1211135152531, 39.179197047503756], [44.92292932543313, 38.85371795064827], [37.89062057972616, 37.28323204554842], [31.237860420850577, 34.515457751726466], [25.166789599774727, 30.63449249053882], [19.861874531286926, 25.75825742758347], [15.484302375326642, 20.034914497754336], [12.16708344669432, 13.638364579822984], [10.011009763942702, 6.76296360623535], [9.081592534896252, -0.382382843546897]]"
1,"[[-9.081592534866626, 0.3823828435715489], [-8.66468812496218, -2.74676524398109], [-7.20269445000987, -5.544612905172021], [-4.871949523937604, -7.67369842022784], [-1.9535755829612989, -8.877222654077148], [1.2004284050250742, -9.010022821991743], [4.209643010929026, -8.056081263799385], [6.711112542000876, -6.130457410096055], [8.403122855034946, -3.465409916819717], [9.081592534866626, -0.382382843571546]]"
1,"[[52.88587920239619, 57.34238211723686], [42.52207251538301, 56.873763594631605], [32.39709009176403, 54.61260829547263], [22.818574398992606, 50.627620279325114], [14.077563789430783, 45.03988139055845], [6.439649447285284, 38.01917224777549], [0.13690553487109014, 29.778813545629472], [-4.639162263375432, 20.569184413462377], [-7.743435544211444, 10.67011477215793], [-9.081592534836858, 0.3823828435961949]]"
1,"[[52.12111351522845, 39.17919704743337], [49.03808644198028, 39.857666727265055], [46.37303894870394, 41.54967704029912], [44.44741509500061, 44.05114657137098], [43.49347353680825, 47.06036117727493], [43.62627370472285, 50.2143651652613], [44.829797938572156, 53.13273910623761], [46.958883453627976, 55.463484032309864], [49.756731114818905, 56.92547770726218], [52.88587920237154, 57.34238211716663]]"
1,"[[4.348774445880748, 0.0], [3.5182324314210205, 2.5561454848350755], [1.3438452084806463, 4.135930274652731], [-1.3438452084806458, 4.135930274652732], [-3.51823243142102, 2.556145484835076], [-4.348774445880748, 5.325712705361662e-16], [-3.5182324314210205, -2.556145484835075], [-1.3438452084806467, -4.135930274652731], [1.3438452084806454, -4.135930274652732], [3.51823243142102, -2.5561454848350764]]"
1,"[[56.32193245762206, 48.2607895823], [55.592676054681824, 50.50521000800881], [53.68345800527079, 51.89233811614137], [51.323534712329206, 51.89233811614137], [49.414316662918175, 50.50521000800881], [48.68506025997794, 48.2607895823], [49.414316662918175, 46.01636915659119], [51.323534712329206, 44.62924104845863], [53.68345800527079, 44.62924104845863], [55.592676054681824, 46.01636915659119]]"
1,"[[20.895330874126692, 35.0042249231], [20.009414285083157, 37.730795824509734], [17.69005454376981, 39.415909314317396], [14.82316823923019, 39.415909314317396], [12.503808497916847, 37.73079582450974], [11.617891908873311, 35.0042249231], [12.503808497916845, 32.27765402169026], [14.82316823923019, 30.592540531882598], [17.69005454376981, 30.592540531882598], [20.009414285083157, 32.27765402169025]]"
2,"[[0.0, 0.0], [4.2554202899, 0.0], [0.0, 8.5108405797]]"
2,"[[-16.664420845794826, 21.2253306305], [-17.53547710486253, 23.90616613898614], [-19.81593199721512, 25.563013601478183], [-22.63472926378488, 25.563013601478183], [-24.915184156137467, 23.90616613898614], [-25.786240415205175, 21.2253306305], [-24.91518415613747, 18.54449512201386], [-22.634729263784884, 16.887647659521818], [-19.81593199721512, 16.887647659521818], [-17.535477104862533, 18.54449512201386]]"
2,"[[-16.66442084579321, -21.2253306305], [-17.535477104861222, -18.54449512201291], [-19.81593199721462, -16.887647659520283], [-22.63472926378538, -16.88764765952028], [-24.915184156138775, -18.54449512201291], [-25.78624041520679, -21.2253306305], [-24.91518415613878, -23.90616613898709], [-22.63472926378538, -25.563013601479717], [-19.81593199721462, -25.56301360147972], [-17.535477104861226, -23.906166138987093]]"
2,"[[25.786240415206155, -21.2253306305], [24.915184156138263, -18.544495122013284], [22.634729263785186, -16.887647659520887], [19.815931997214815, -16.887647659520887], [17.535477104861737, -18.544495122013284], [16.664420845793845, -21.2253306305], [17.535477104861737, -23.906166138986716], [19.815931997214815, -25.563013601479113], [22.634729263785182, -25.563013601479113], [24.915184156138263, -23.90616613898672]]"
2,"[[25.78624041520435, 21.2253306305], [24.915184156136803, 23.906166138985657], [22.634729263784628, 25.563013601477397], [19.815931997215372, 25.563013601477397], [17.535477104863197, 23.906166138985657], [16.66442084579565, 21.2253306305], [17.535477104863197, 18.544495122014347], [19.815931997215372, 16.887647659522603], [22.634729263784628, 16.887647659522603], [24.915184156136803, 18.544495122014343]]"
2,"[[46.63721969724529, 0.0], [37.730303305469484, 27.412669945964822], [14.411693456846837, 44.354631694953824], [-14.411693456846832, 44.35463169495383], [-37.73030330546948, 27.412669945964826], [-46.63721969724529, 5.711412182336334e-15], [-37.730303305469484, -27.412669945964815], [-14.411693456846843, -44.354631694953824], [14.411693456846827, -44.35463169495383], [37.73030330546948, -27.412669945964833]]"
2,"[[4.56090978470419, 30.0171504435], [3.6898535256366727, 32.697985951985565], [1.4093986332845776, 34.35483341447725], [-1.409398633284577, 34.35483341447725], [-3.6898535256366722, 32.697985951985565], [-4.56090978470419, 30.0171504435], [-3.6898535256366727, 27.33631493501444], [-1.409398633284578, 25.679467472522752], [1.4093986332845765, 25.679467472522752], [3.6898535256366722, 27.33631493501444]]"
2,"[[34.57806022820513, 0.0], [33.70700396913744, 2.6808355084861173], [31.42654907678487, 4.337682970978145], [28.60775181021513, 4.337682970978145], [26.327296917862565, 2.6808355084861177], [25.456240658794865, 5.585503569038987e-16], [26.32729691786256, -2.680835508486117], [28.60775181021513, -4.337682970978145], [31.42654907678487, -4.337682970978145], [33.70700396913744, -2.680835508486118]]"
2,"[[4.560909784706823, -30.0171504435], [3.6898535256388025, -27.33631493501289], [1.409398633285391, -25.67946747252025], [-1.4093986332853905, -25.67946747252025], [-3.689853525638802, -27.33631493501289], [-4.560909784706823, -30.0171504435], [-3.6898535256388025, -32.69798595198711], [-1.4093986332853916, -34.35483341447975], [1.40939863328539, -34.35483341447975], [3.689853525638802, -32.69798595198711]]"
2,"[[-25.456240658793902, 0.0], [-26.327296917861783, 2.680835508486683], [-28.607751810214832, 4.33768297097906], [-31.426549076785168, 4.337682970979061], [-33.70700396913821, 2.6808355084866835], [-34.5780602282061, 5.585503569040167e-16], [-33.70700396913821, -2.6808355084866826], [-31.426549076785168, -4.33768297097906], [-28.607751810214836, -4.337682970979061], [-26.327296917861783, -2.680835508486684]]"
